video_id,channelTitle,title,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagCount
g4DAFnZcCcQ,MrBeast,Best Microphone For Youtube (Gaming Commentaries Vocals Singing Podcast),"['Mr.Beast', 'mr', 'beast', 'Best Microphone For Youtube (Gaming Commentaries Vocals Singing Podcast)', 'Best', 'microphone', 'for', 'youtube', 'gaming', 'volca', 'podcasts', 'singing', 'best microphone for youtube']",2015-10-11 18:56:01+00:00,46316.0,1729.0,,298.0,PT3M37S,hd,False,Sunday,217.0,0
LTr8cXAxy1I,MrBeast,9k Subs - Channel Talk,"['Mr.Beast', 'mr', 'beast']",2015-10-10 17:20:05+00:00,99144.0,3556.0,,807.0,PT4M35S,hd,False,Saturday,275.0,0
Ow3xqv7ahXo,MrBeast,How Much Money Does Bill Gates Make / Have - Billionaire,"['Mr.Beast', 'mr', 'beast', 'How Much Money Does Bill Gates Make / Have - Billionaire', 'How Much Money Does Bill Gates Make', 'how', 'much', 'does', 'bill', 'gates', 'make', 'second', 'minute', 'hour', 'dat', 'day', 'how much does bill gates have']",2015-10-09 22:27:01+00:00,108670.0,3422.0,,343.0,PT4M4S,hd,False,Friday,244.0,0
TRiF8PdrIP8,MrBeast,MrBeast6000's Channel Trailer,"['Mr.Beast', 'mr', 'beast']",2015-10-08 20:00:00+00:00,1586975.0,125484.0,,13227.0,PT1M55S,hd,False,Thursday,115.0,0
NFZ_MtTvwm0,MrBeast,Best Non-Copyrighted Songs For Videos! (Intros Vlogs Gaming Trailers) 2016,"['Mr.Beast', 'mr', 'beast', 'Best Non-Copyrighted Songs For Videos! (Intros Vlogs Gaming Trailers)', 'Best Non-Copyrighted Songs For Videos!', 'Best Non-Copyrighted Songs', 'best', 'non copyrighted', 'songs', 'for', 'videos', 'vlogs', 'gaming', 'trailers', 'more']",2015-10-05 22:41:22+00:00,74360.0,2399.0,,265.0,PT2M59S,hd,False,Monday,179.0,0
Pgxi8dsUW-o,MrBeast,Is Being A Youtuber Hard? Is Being A Youtuber Worth It?,"['Mr.Beast', 'mr', 'beast', 'Is Being A Youtube Hard', 'Is Being A Youtuber Worth It', 'is', 'being', 'youtube', 'youtuber', 'hard', 'worth', 'it', 'is being a youtuber hard or worth it']",2015-10-04 20:35:42+00:00,89786.0,4027.0,,611.0,PT5M21S,hd,False,Sunday,321.0,0
YY2-jJojnOA,MrBeast,Best Green Screen Lighting Ever? (Joking Obviously),"['Best green screen lighting ever?', 'best green screen lighting', 'best green screen', 'green', 'scree', 'screen', 'lighting', 'ever', 'best', 'mrbeast6000', 'is', 'gay']",2015-10-03 21:06:46+00:00,401954.0,10473.0,,566.0,PT3M27S,hd,False,Saturday,207.0,0
7Pogam71094,MrBeast,How Do Youtubers Make Money? How Do Youtubers Get Paid?,"['How Do Youtubers Make Money? How Do Youtubers Get Paid?', 'How Do Youtubers Make Money?', 'How Do Youtubers Get Paid?', 'how', 'do', 'youtuebrs', 'youtubes', 'make', 'money', 'youtubers', 'get', 'paid']",2015-09-29 23:16:50+00:00,95583.0,3300.0,,464.0,PT6M6S,hd,False,Tuesday,366.0,0
DL0OPJ2hahc,MrBeast,Increase Youtube Views 2015! COMMUNITY CHANNELS - Boosting Youtube Views,"['Increase youtube views 2015', 'boosting youtube views', 'using', 'community channels', 'how', 'to', 'get', 'more', 'views', 'on', 'youtube']",2015-09-27 21:04:03+00:00,46328.0,1577.0,,289.0,PT3M52S,hd,False,Sunday,232.0,0
WwE0tR08OTU,MrBeast,Originality - A Youtube Poem By MrBeast6000,"['Mr.Beast', 'mr', 'beast', 'this', 'is', 'poe', 'poem I made']",2015-09-26 23:04:34+00:00,46737.0,1918.0,,297.0,PT1M48S,hd,False,Saturday,108.0,0
2LIJtcI4dbg,MrBeast,Stupid Things People Search On Google,"['stupid things searched on google', 'google', 'searched', 'dumb', 'things', 'dumb things searched on youtube', 'pie']",2015-09-25 22:57:49+00:00,1366638.0,72977.0,,4241.0,PT6M9S,hd,False,Friday,369.0,0
rXnaD7PU9kY,MrBeast,"Ad Blocker For Chrome and Mobile, Should You Use It?","['Mr.Beast', 'mr', 'beast', 'ad blocker for chrome', 'should', 'you', 'use', 'ad', 'blocker', 'fire fox', 'interenet exploer', 'opera', 'mobile', 'iphone 6']",2015-09-23 23:54:06+00:00,80831.0,3130.0,,511.0,PT5M15S,hd,False,Wednesday,315.0,0
